SimulationName  Clock.Today  SWC
()  ()  () 
ABlockRotPP_W1_N0  2004-12-07  378.825
ABlockRotPP_W1_N1  2004-12-07  391.74
ABlockRotPP_W2_N0  2004-12-07  366.925
ABlockRotPP_W2_N1  2004-12-07  355.915
ABlockRotPP_W1_N0  2004-12-14  423.3875
ABlockRotPP_W1_N1  2004-12-14  433.2275
ABlockRotPP_W2_N0  2004-12-14  412.155
ABlockRotPP_W2_N1  2004-12-14  406.7875
ABlockRotPP_W1_N0  2004-12-21  454.5875
ABlockRotPP_W1_N1  2004-12-21  466.4
ABlockRotPP_W2_N0  2004-12-21  445.925
ABlockRotPP_W2_N1  2004-12-21  443.3275
ABlockRotPP_W1_N0  2004-12-30  413.655
ABlockRotPP_W1_N1  2004-12-30  423.37
ABlockRotPP_W2_N0  2004-12-30  421.75
ABlockRotPP_W2_N1  2004-12-30  422.1625
ABlockRotPP_W1_N0  2005-01-04  397.16
ABlockRotPP_W1_N1  2005-01-04  408.6083333
ABlockRotPP_W2_N0  2005-01-04  401.325
ABlockRotPP_W2_N1  2005-01-04  403.125
ABlockRotPP_W1_N0  2005-01-11  462.8125
ABlockRotPP_W1_N1  2005-01-11  469.4625
ABlockRotPP_W2_N0  2005-01-11  467.54
ABlockRotPP_W2_N1  2005-01-11  473.615
ABlockRotPP_W1_N0  2005-01-18  413.335
ABlockRotPP_W1_N1  2005-01-18  420.0175
ABlockRotPP_W2_N0  2005-01-18  412.615
ABlockRotPP_W2_N1  2005-01-18  412.0675
ABlockRotPP_W1_N0  2005-01-25  408.565
ABlockRotPP_W1_N1  2005-01-25  417.665
ABlockRotPP_W2_N0  2005-01-25  420.3875
ABlockRotPP_W2_N1  2005-01-25  419.3325
ABlockRotPP_W1_N0  2005-02-01  421.71
ABlockRotPP_W1_N1  2005-02-01  430.1525
ABlockRotPP_W2_N0  2005-02-01  438.645
ABlockRotPP_W2_N1  2005-02-01  435.5875
ABlockRotPP_W1_N0  2005-02-08  418.6425
ABlockRotPP_W1_N1  2005-02-08  427.8225
ABlockRotPP_W2_N0  2005-02-08  438.34
ABlockRotPP_W2_N1  2005-02-08  433.9075
ABlockRotPP_W1_N0  2005-02-15  438.4325
ABlockRotPP_W1_N1  2005-02-15  447.2725
ABlockRotPP_W2_N0  2005-02-15  458.1375
ABlockRotPP_W2_N1  2005-02-15  453.8025
