Region  Soil   CropNo  CropName           YearNum   Year  Month  GrainWt StoverWt StoverNpc Priority    BP1     BP2
  ()    ()      ()       ()                   ()      ()     ()    ()      ()      ()       ()           ()      ()
   1     3       1     Maize_local             1    2001    9      500     400    0.60       4           0       0
   1     3       1     Maize_local             2    2002    9      500     400    0.60       4           0       0
   1     3       1     Maize_local             3    2003   10      900     800    0.45       4           0       0
   1     3       1     Maize_local             4    2004   10      900     800    0.45       4           0       0
   1     3       1     Maize_local             5    2005   10      900     800    0.45       4           0       0
   1     3       1     Maize_local             6    2006   10     1100    1000    0.40       4           0       0
   1     3       1     Maize_local             7    2007   10      900     800    0.45       4           0       0
   1     3       1     Maize_local             8    2008   10      900     800    0.45       4           0       0
   1     3       1     Maize_local             9    2009    9      500     400    0.60       4           0       0
   1     3       1     Maize_local            10    2010   10     1100    1000    0.40       4           0       0
   1     3       2     Maize_Bundofa           1    2001    9      900     900    0.60       4           0       0
   1     3       2     Maize_Bundofa           2    2002   10      900     900    0.60       4           0       0
   1     3       2     Maize_Bundofa           3    2003   10     2000    2000    0.45       4           0       0
   1     3       2     Maize_Bundofa           4    2004    9     2000    2000    0.45       4           0       0
   1     3       2     Maize_Bundofa           5    2005   10     2000    2000    0.45       4           0       0
   1     3       2     Maize_Bundofa           6    2006   10     3000    3000    0.40       4           0       0
   1     3       2     Maize_Bundofa           7    2007    9     2000    2000    0.45       4           0       0
   1     3       2     Maize_Bundofa           8    2008    9     2000    2000    0.45       4           0       0
   1     3       2     Maize_Bundofa           9    2009    9      900     900    0.60       4           0       0
   1     3       2     Maize_Bundofa          10    2010    9     3000    3000    0.40       4           0       0
   1     3       3     Sorghum_local           1    2001   10      350     575    0.60       4           0       0
   1     3       3     Sorghum_local           2    2002   10      350     575    0.60       4           0       0
   1     3       3     Sorghum_local           3    2003   10      700    1050    0.45       4           0       0
   1     3       3     Sorghum_local           4    2004    9      700    1050    0.45       4           0       0
   1     3       3     Sorghum_local           5    2005   10      700    1050    0.45       4           0       0
   1     3       3     Sorghum_local           6    2006   10      900    1350    0.40       4           0       0
   1     3       3     Sorghum_local           7    2007   10      700    1050    0.45       4           0       0
   1     3       3     Sorghum_local           8    2008   10      700    1050    0.45       4           0       0
   1     3       3     Sorghum_local           9    2009   10      350     575    0.60       4           0       0
   1     3       3     Sorghum_local          10    2010   10      900    1350    0.40       4           0       0
   1     3       4     Sorghum_greinken        1    2001   10      700     910    0.60       4           0       0
   1     3       4     Sorghum_greinken        2    2002   10      700     910    0.60       4           0       0
   1     3       4     Sorghum_greinken        3    2003   10     1100    1430    0.45       4           0       0
   1     3       4     Sorghum_greinken        4    2004   10     1100    1430    0.45       4           0       0
   1     3       4     Sorghum_greinken        5    2005   10     1100    1430    0.45       4           0       0
   1     3       4     Sorghum_greinken        6    2006   10     1400    1820    0.40       4           0       0
   1     3       4     Sorghum_greinken        7    2007   10     1100    1430    0.45       4           0       0
   1     3       4     Sorghum_greinken        8    2008   10     1100    1430    0.45       4           0       0
   1     3       4     Sorghum_greinken        9    2009   10      700     910    0.60       4           0       0
   1     3       4     Sorghum_greinken       10    2010   10     1400    1820    0.40       4           0       0
   1     3       5     Sorg_Gr_tractor         1    2001   10     1750    2275    0.60       4           0       0
   1     3       5     Sorg_Gr_tractor         2    2002   10     1750    2275    0.60       4           0       0
   1     3       5     Sorg_Gr_tractor         3    2003   10     2420    3146    0.45       4           0       0
   1     3       5     Sorg_Gr_tractor         4    2004   10     2420    3146    0.45       4           0       0
   1     3       5     Sorg_Gr_tractor         5    2005   10     2420    3146    0.45       4           0       0
   1     3       5     Sorg_Gr_tractor         6    2006   10     2800    3640    0.40       4           0       0
   1     3       5     Sorg_Gr_tractor         7    2007   10     2420    3146    0.45       4           0       0
   1     3       5     Sorg_Gr_tractor         8    2008   10     2420    3146    0.45       4           0       0
   1     3       5     Sorg_Gr_tractor         9    2009   10     1750    2275    0.60       4           0       0
   1     3       5     Sorg_Gr_tractor        10    2010   10     2800    3640    0.40       4           0       0
   1     3       6     Cotton                  1    2001   12      300     390     0.5       4           0       0
   1     3       6     Cotton                  2    2002   12      300     390     0.5       4           0       0
   1     3       6     Cotton                  3    2003   12      900    1170     0.5       4           0       0
   1     3       6     Cotton                  4    2004   12      900    1170     0.5       4           0       0
   1     3       6     Cotton                  5    2005   12      900    1170     0.5       4           0       0
   1     3       6     Cotton                  6    2006   12     1500    1950     0.5       4           0       0
   1     3       6     Cotton                  7    2007   12      900    1170     0.5       4           0       0
   1     3       6     Cotton                  8    2008   12      900    1170     0.5       4           0       0
   1     3       6     Cotton                  9    2009   12      300     390     0.5       4           0       0
   1     3       6     Cotton                 10    2010   12     1500    1950     0.5       4           0       0
   1     3       7     Arachide                1    2001   10      300     330     3.0       1           0       0
   1     3       7     Arachide                2    2002   10      300     330     3.0       1           0       0
   1     3       7     Arachide                3    2003   10      700     770     3.0       1           0       0
   1     3       7     Arachide                4    2004   10      700     770     3.0       1           0       0
   1     3       7     Arachide                5    2005   10      700     770     3.0       1           0       0
   1     3       7     Arachide                6    2006   10     1000    1100     3.0       1           0       0
   1     3       7     Arachide                7    2007   10      700     770     3.0       1           0       0
   1     3       7     Arachide                8    2008   10      700     770     3.0       1           0       0
   1     3       7     Arachide                9    2009   10      300     330     3.0       1           0       0
   1     3       7     Arachide               10    2010   10     1000    1100     3.0       1           0       0
