FileName,ExperimentName,SimulationName,ExperimentDesign,Latitude,Longitude
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen0Waterfalse, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen5Waterfalse, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen10Waterfalse, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen15Waterfalse, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen20Waterfalse, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen25Waterfalse, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen30Waterfalse, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen0Watertrue, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen5Watertrue, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen10Watertrue, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen15Watertrue, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen20Watertrue, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen25Watertrue, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, PastureByWaterAndNitrogen, PastureByWaterAndNitrogenNitrogen30Watertrue, Nitrogen x Water (14), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xBaseTemperature, CO2xBaseTemperatureCO2Level350Tb0, CO2Level x Tb (10), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xBaseTemperature, CO2xBaseTemperatureCO2Level700Tb0, CO2Level x Tb (10), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xBaseTemperature, CO2xBaseTemperatureCO2Level350Tb2, CO2Level x Tb (10), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xBaseTemperature, CO2xBaseTemperatureCO2Level700Tb2, CO2Level x Tb (10), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xBaseTemperature, CO2xBaseTemperatureCO2Level350Tb5, CO2Level x Tb (10), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xBaseTemperature, CO2xBaseTemperatureCO2Level700Tb5, CO2Level x Tb (10), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xBaseTemperature, CO2xBaseTemperatureCO2Level350Tb10, CO2Level x Tb (10), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xBaseTemperature, CO2xBaseTemperatureCO2Level700Tb10, CO2Level x Tb (10), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xBaseTemperature, CO2xBaseTemperatureCO2Level350Tb15, CO2Level x Tb (10), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xBaseTemperature, CO2xBaseTemperatureCO2Level700Tb15, CO2Level x Tb (10), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xHeatOnset, CO2xHeatOnsetHeatOnset15CO2350, HeatOnset x CO2 (6), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xHeatOnset, CO2xHeatOnsetHeatOnset25CO2350, HeatOnset x CO2 (6), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xHeatOnset, CO2xHeatOnsetHeatOnset35CO2350, HeatOnset x CO2 (6), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xHeatOnset, CO2xHeatOnsetHeatOnset15CO2700, HeatOnset x CO2 (6), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xHeatOnset, CO2xHeatOnsetHeatOnset25CO2700, HeatOnset x CO2 (6), -43.624, 172.466
\Examples\AgPasture.apsimx, CO2xHeatOnset, CO2xHeatOnsetHeatOnset35CO2700, HeatOnset x CO2 (6), -43.624, 172.466
\Examples\AgPasture.apsimx, , AgPastureExample, , -43.624, 172.466
\Examples\Barley.apsimx, , Simulation, , -27.18, 151.26
\Examples\Canola.apsimx, , Canola Example, , -35, 147.35
\Examples\CanolaGrazing.apsimx, , Canola Grazing Example, , -35, 147.35
\Examples\Chickpea.apsimx, Continuous_TOS, Continuous_TOSTOS1, TOS (3), -35, 147.35
\Examples\Chickpea.apsimx, Continuous_TOS, Continuous_TOSTOS2, TOS (3), -35, 147.35
\Examples\Chickpea.apsimx, Continuous_TOS, Continuous_TOSTOS3, TOS (3), -35, 147.35
\Examples\Chicory.apsimx, , Simulation, , -43.624, 172.466
\Examples\ControlledEnvironment.apsimx, , Simulation, , NaN, NaN
\Examples\CsvWeather.apsimx, , Simulation, , 0, 0
\Examples\Eucalyptus.apsimx, , Simulation, , -35, 147.35
\Examples\EucalyptusRotation.apsimx, , EucalyptusRotation, , -18.76, -44.43
\Examples\Factorial.apsimx, PropertyReplacement, PropertyReplacementFertiliser0, Fertiliser (5), -43.624, 172.466
\Examples\Factorial.apsimx, PropertyReplacement, PropertyReplacementFertiliser25, Fertiliser (5), -43.624, 172.466
\Examples\Factorial.apsimx, PropertyReplacement, PropertyReplacementFertiliser50, Fertiliser (5), -43.624, 172.466
\Examples\Factorial.apsimx, PropertyReplacement, PropertyReplacementFertiliser75, Fertiliser (5), -43.624, 172.466
\Examples\Factorial.apsimx, PropertyReplacement, PropertyReplacementFertiliser100, Fertiliser (5), -43.624, 172.466
\Examples\Factorial.apsimx, RangeExperiment, RangeExperimentFertiliser0, Fertiliser (6), -43.624, 172.466
\Examples\Factorial.apsimx, RangeExperiment, RangeExperimentFertiliser20, Fertiliser (6), -43.624, 172.466
\Examples\Factorial.apsimx, RangeExperiment, RangeExperimentFertiliser40, Fertiliser (6), -43.624, 172.466
\Examples\Factorial.apsimx, RangeExperiment, RangeExperimentFertiliser60, Fertiliser (6), -43.624, 172.466
\Examples\Factorial.apsimx, RangeExperiment, RangeExperimentFertiliser80, Fertiliser (6), -43.624, 172.466
\Examples\Factorial.apsimx, RangeExperiment, RangeExperimentFertiliser100, Fertiliser (6), -43.624, 172.466
\Examples\Factorial.apsimx, CompositeFactor, CompositeFactorSiteDalby, Site (2), -27.18, 151.26
\Examples\Factorial.apsimx, CompositeFactor, CompositeFactorSiteGoondiwindi, Site (2), -28.33, 0
\Examples\Factorial.apsimx, ModelReplacement, ModelReplacementIrrigationLow, Irrigation (2), -43.624, 172.466
\Examples\Factorial.apsimx, ModelReplacement, ModelReplacementIrrigationHigh, Irrigation (2), -43.624, 172.466
\Examples\Factorial.apsimx, Permutation, PermutationIrrigationLowFertiliser0, Irrigation x Fertiliser (12), -43.624, 172.466
\Examples\Factorial.apsimx, Permutation, PermutationIrrigationHighFertiliser0, Irrigation x Fertiliser (12), -43.624, 172.466
