RunDescr,StepDate,Manager_dead_litter,Manager_green_dm,Manager_soil_water,Manager_total_n,Manager_total_nh4,Manager_total_no3,Manager_total_sw_uptake,farm_pasture01_surfaceom_model_surfaceom_cover,farm_pasture01_surfaceom_model_surfaceom_wt,farm_pasture01_Sub_Clover_cover_green,farm_pasture01_Sub_Clover_cover_tot,farm_pasture01_Sub_Clover_residue_cover,farm_pasture01_Sub_Clover_dead_dm,farm_pasture01_Sub_Clover_litter_dm,farm_pasture01_Sub_Clover_green_dm,farm_pasture01_Sub_Clover_avail_dm,farm_pasture01_Sub_Clover_avail_green,farm_pasture01_Sub_Clover_root_dm,farm_pasture01_Sub_Clover_seed_dm,farm_pasture01_Sub_Clover_sw_uptake_1_,farm_pasture01_Sub_Clover_sw_uptake_2_,farm_pasture01_Sub_Clover_sw_uptake_3_,farm_pasture01_Sub_Clover_sw_uptake_4_,farm_pasture01_Sub_Clover_sw_uptake_5_,farm_pasture01_Sub_Clover_sw_uptake_6_,farm_pasture01_Sub_Clover_sw_uptake_7_,farm_pasture01_Sub_Clover_sw_uptake_8_,farm_pasture01_Sub_Clover_sw_uptake_9_,farm_pasture01_Sub_Clover_glf_gai,farm_pasture01_Sub_Clover_glf_vpd,farm_pasture01_Sub_Clover_glf_sm,farm_pasture01_Sub_Clover_glf_tmp,farm_pasture01_Sub_Clover_glf_wl,farm_pasture01_Sub_Clover_glf_nitr,farm_pasture01_Sub_Clover_uptake_nh4_1_,farm_pasture01_Sub_Clover_uptake_nh4_2_,farm_pasture01_Sub_Clover_uptake_nh4_3_,farm_pasture01_Sub_Clover_uptake_nh4_4_,farm_pasture01_Sub_Clover_uptake_nh4_5_,farm_pasture01_Sub_Clover_uptake_nh4_6_,farm_pasture01_Sub_Clover_uptake_nh4_7_,farm_pasture01_Sub_Clover_uptake_nh4_8_,farm_pasture01_Sub_Clover_uptake_nh4_9_,farm_pasture01_Sub_Clover_lai,farm_pasture01_ryegrass_residue_cover,farm_pasture01_ryegrass_dead_dm,farm_pasture01_ryegrass_litter_dm,farm_pasture01_ryegrass_green_dm,farm_pasture01_ryegrass_avail_dm,farm_pasture01_ryegrass_avail_green,farm_pasture01_ryegrass_root_dm,farm_pasture01_ryegrass_sw_uptake_1_,farm_pasture01_ryegrass_sw_uptake_2_,farm_pasture01_ryegrass_sw_uptake_3_,farm_pasture01_ryegrass_sw_uptake_4_,farm_pasture01_ryegrass_sw_uptake_5_,farm_pasture01_ryegrass_sw_uptake_6_,farm_pasture01_ryegrass_sw_uptake_7_,farm_pasture01_ryegrass_sw_uptake_8_,farm_pasture01_ryegrass_sw_uptake_9_,farm_pasture01_ryegrass_uptake_nh4_1_,farm_pasture01_ryegrass_uptake_nh4_2_,farm_pasture01_ryegrass_uptake_nh4_3_,farm_pasture01_ryegrass_uptake_nh4_4_,farm_pasture01_ryegrass_uptake_nh4_5_,farm_pasture01_ryegrass_uptake_nh4_6_,farm_pasture01_ryegrass_uptake_nh4_7_,farm_pasture01_ryegrass_uptake_nh4_8_,farm_pasture01_ryegrass_uptake_nh4_9_,farm_pasture01_ryegrass_lai
Pasture_clover_rye:Pasture_clover_rye,1990-01-01,6489.0,4393.0,630.365,64.4583,0.0,64.4583,0.0,0.489637,1345.27,0.0,0.99475,0.99475,5922.02,1213.5,0.0,7108.95,0.0,0.0,1131.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369917,720.608,131.764,4224.76,4689.65,3840.08,204.132,0.903271,1.00318,2.3752,1.7195,0.258021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90603
Pasture_clover_rye:Pasture_clover_rye,1990-01-02,6642.63,4224.76,623.814,55.6109,0.14118,55.4698,0.0,0.4607,1234.97,0.0,0.97545,0.97545,5907.07,10.3774,0.0,5917.45,0.0,0.0,1116.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369975,917.267,0.968631,4026.54,4563.54,3645.31,205.542,0.843679,0.87918,2.21898,1.61829,0.251903,0.0,0.0,0.0,0.0,0.0471054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90004
Pasture_clover_rye:Pasture_clover_rye,1990-01-03,6824.34,4026.54,618.353,52.3202,0.249972,52.0703,0.0,0.434353,1139.57,0.0,0.97519,0.97519,5892.17,10.3494,0.0,5902.52,0.0,0.0,1101.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378715,1121.73,1.24718,3819.77,4563.29,3440.31,206.577,0.690693,0.69059,1.77954,1.3281,0.213975,0.0,0.0,0.0,0.0,0.0351057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89308
Pasture_clover_rye:Pasture_clover_rye,1990-01-04,7013.9,3819.77,612.088,52.3029,0.279935,52.023,0.0,0.424159,1103.85,0.0,0.974928,0.974928,5877.31,10.3215,0.0,5887.63,0.0,0.0,1087.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38248,1214.6,1.5367,3726.7,4552.59,3336.45,210.137,0.808752,0.788706,2.07044,1.57499,0.261204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.892
Pasture_clover_rye:Pasture_clover_rye,1990-01-05,7091.91,3726.7,606.853,52.3286,0.351915,51.9767,0.0,0.406033,1041.86,0.0,0.974663,0.974663,5862.49,10.2937,0.0,5872.79,0.0,0.0,1074.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387823,1341.62,1.66797,3597.59,4554.74,3211.45,211.495,0.630545,0.606282,1.61989,1.25534,0.21578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88767
Pasture_clover_rye:Pasture_clover_rye,1990-01-06,7204.12,3597.59,602.434,52.3428,0.384843,51.9579,0.0,0.396784,1010.96,0.0,0.974397,0.974397,5847.71,10.266,0.0,5857.98,0.0,0.0,1061.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391439,1429.77,1.84752,3507.71,4549.32,3117.7,213.225,0.531352,0.514474,1.39745,1.10004,0.194624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88549
Pasture_clover_rye:Pasture_clover_rye,1990-01-07,7277.48,3507.71,597.344,52.4172,0.432016,51.9852,0.0,0.38548,973.827,0.0,0.974129,0.974129,5832.97,10.2383,0.0,5843.21,0.0,0.0,1048.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395475,1526.32,1.97193,3409.65,4549.12,3020.83,215.371,0.635262,0.614078,1.69427,1.35263,0.245511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88388
Pasture_clover_rye:Pasture_clover_rye,1990-01-08,7359.29,3409.65,592.624,45.0664,0.313283,44.7531,0.0,0.370485,925.611,0.0,0.973859,0.973859,5818.27,10.2108,0.0,5828.49,0.0,0.0,1036.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400225,1636.64,2.10813,3307.04,4557.83,2919.08,261.468,0.573481,0.551054,1.54471,1.25167,0.234839,0.0,0.0,0.0,0.0,0.185755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92366
Pasture_clover_rye:Pasture_clover_rye,1990-01-09,7454.91,3307.04,588.341,41.8386,0.32713,41.5115,0.0,0.355126,877.401,0.0,0.973587,0.973587,5803.62,10.1833,0.0,5813.8,0.0,0.0,1024.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405103,1750.65,2.26373,3204.6,4569.91,2816.99,302.468,0.489111,0.470731,1.33948,1.10085,0.213115,0.0,0.0,0.0,0.0,0.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96685
Pasture_clover_rye:Pasture_clover_rye,1990-01-10,7554.27,3204.6,584.117,40.2254,0.38323,39.8422,0.0,0.342623,838.994,0.0,0.973341,0.973341,5784.96,14.198,0.0,5799.15,0.0,0.0,1013.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410626,1877.01,3.38919,3086.95,4582.04,2701.64,337.93,0.508683,0.498244,1.43881,1.19801,0.238483,0.0,0.0,0.0,0.0,0.0659726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02332
