solute,date,value1,value2,value3,value4,value5,value6
NO3,  8 Jun 1991, 0.09342,0.38086,1.16369,1.78575,3.33957,5.37401
NO3,  9 Jun 1991, 0.00533,0.29881,1.05722,1.92772,3.34522,5.37443
NO3, 10 Jun 1991, 0.00543,0.21329,0.91594,1.96092,3.44678,5.37526
NO3, 11 Jun 1991, 0.00533,0.14389,0.76117,1.91176,3.62333,5.37775
NO3, 12 Jun 1991, 0.00397,0.08525,0.59403,1.77861,3.84954,5.38434
NO3, 13 Jun 1991, 0.00456,0.05221,0.45149,1.62168,3.95434,5.50272
NO3, 14 Jun 1991, 0.00471,0.02956,0.32601,1.43359,3.90449,5.75508
NO3, 15 Jun 1991, 0.00448,0.01916,0.23873,1.24602,3.77367,6.02182
NO3, 16 Jun 1991, 0.00486,0.01566,0.18260,1.07923,3.58599,6.09731
NO3, 17 Jun 1991, 0.00599,0.01572,0.14913,0.94392,3.38118,6.04483
NO3, 18 Jun 1991, 0.01145,0.01714,0.12996,0.84302,3.19356,5.92134
NO3, 19 Jun 1991, 0.01637,0.01868,0.11818,0.76602,3.02564,5.76338
NO3, 20 Jun 1991, 0.02004,0.02096,0.11177,0.70900,2.88339,5.59655
NO3, 21 Jun 1991, 0.02081,0.02376,0.10869,0.66692,2.76637,5.43656
NO3, 22 Jun 1991, 0.02156,0.02728,0.10707,0.63666,2.67465,5.29367
NO3, 23 Jun 1991, 0.02091,0.03108,0.10800,0.61497,2.60430,5.17244
NO3, 24 Jun 1991, 0.00376,0.03513,0.11008,0.59923,2.55060,5.07384
NO3, 25 Jun 1991, 0.00476,0.03969,0.11375,0.59062,2.51935,5.00113
NO3, 26 Jun 1991, 0.00547,0.04517,0.12106,0.59368,2.47984,4.94881
NO3, 27 Jun 1991, 0.01245,0.05075,0.12802,0.59557,2.46180,4.90346
NO3, 28 Jun 1991, 0.01840,0.05707,0.13436,0.59889,2.44635,4.87894
NO3, 29 Jun 1991, 0.02275,0.06228,0.13874,0.60375,2.43158,4.86619
NO3, 30 Jun 1991, 0.02324,0.06589,0.14214,0.60865,2.41967,4.85916
NO3,  1 Jul 1991, 0.02338,0.06764,0.14405,0.60255,2.42011,4.85217
NO3,  2 Jul 1991, 0.02578,0.06913,0.14592,0.59629,2.42408,4.84580
NO3,  3 Jul 1991, 0.02707,0.07125,0.14774,0.58939,2.42707,4.83993
NO3,  4 Jul 1991, 0.02574,0.07385,0.15017,0.58247,2.42917,4.83448
NO3,  5 Jul 1991, 0.02424,0.07424,0.15128,0.57462,2.43028,4.82932
NO3,  6 Jul 1991, 0.02093,0.07296,0.15106,0.56585,2.43160,4.82478
NO3,  7 Jul 1991, 0.01967,0.07137,0.15004,0.55660,2.43576,4.82108
NO3,  8 Jul 1991, 0.01616,0.06686,0.14816,0.54593,2.43303,4.82621
NO3,  9 Jul 1991, 0.01232,0.05944,0.14291,0.53236,2.41749,4.85429
NO3, 10 Jul 1991, 0.00088,0.03665,0.11755,0.49841,2.35925,4.88474
NO3, 11 Jul 1991, 0.00083,0.02202,0.08210,0.43630,2.22076,4.85806
NO3, 12 Jul 1991, 0.00092,0.01149,0.05787,0.36066,2.03337,4.73373
NO3, 13 Jul 1991, 0.00099,0.00639,0.04234,0.28985,1.83007,4.52650
NO3, 14 Jul 1991, 0.00115,0.00384,0.03140,0.23498,1.63452,4.26947
NO3, 15 Jul 1991, 0.00138,0.00297,0.02427,0.19398,1.45917,3.99277
NO3, 16 Jul 1991, 0.00151,0.00282,0.01987,0.16327,1.30772,3.71822
NO3, 17 Jul 1991, 0.00282,0.00300,0.01724,0.14038,1.18061,3.46031
NO3, 18 Jul 1991, 0.00427,0.00356,0.01600,0.12368,1.07641,3.22786
NO3, 19 Jul 1991, 0.00194,0.00444,0.01587,0.11222,0.99504,3.02627
NO3, 20 Jul 1991, 0.00206,0.00573,0.01649,0.10446,0.93231,2.85682
NO3, 21 Jul 1991, 0.00408,0.00728,0.01759,0.09949,0.88603,2.71894
NO3, 22 Jul 1991, 0.00558,0.00918,0.01899,0.09654,0.85295,2.61039
NO3, 23 Jul 1991, 0.00750,0.01107,0.02071,0.09509,0.83086,2.52795
NO3, 24 Jul 1991, 0.00860,0.01256,0.02272,0.09364,0.81560,2.46731
NO3, 25 Jul 1991, 0.00902,0.01383,0.02459,0.09768,0.80069,2.42501
NO3, 26 Jul 1991, 0.00971,0.01506,0.02641,0.10139,0.79860,2.39161
NO3, 27 Jul 1991, 0.01055,0.01623,0.02810,0.10456,0.79600,2.37309
NO3, 28 Jul 1991, 0.01115,0.01748,0.02977,0.10728,0.79293,2.36313
NO3, 29 Jul 1991, 0.01111,0.01910,0.03173,0.11008,0.79113,2.35829
NO3, 30 Jul 1991, 0.00133,0.02083,0.03363,0.11217,0.78746,2.35520
NO3, 31 Jul 1991, 0.00134,0.02274,0.03574,0.11473,0.78696,2.35217
NO3,  1 Aug 1991, 0.00183,0.02522,0.03832,0.11773,0.78800,2.34948
NO3,  2 Aug 1991, 0.00417,0.02785,0.04097,0.12050,0.78857,2.34694
NO3,  3 Aug 1991, 0.00666,0.03061,0.04368,0.12316,0.78913,2.34451
NO3,  4 Aug 1991, 0.00279,0.03430,0.04675,0.12553,0.78821,2.34236
NO3,  5 Aug 1991, 0.00295,0.03525,0.05184,0.12882,0.78465,2.34035
NO3,  6 Aug 1991, 0.00323,0.03523,0.05531,0.13392,0.78205,2.33834
NO3,  7 Aug 1991, 0.00321,0.03235,0.05716,0.13825,0.78719,2.33660
NO3,  8 Aug 1991, 0.00468,0.02898,0.05644,0.13932,0.79369,2.33513
NO3,  9 Aug 1991, 0.00171,0.02537,0.05415,0.13798,0.80176,2.33435
NO3, 10 Aug 1991, 0.00273,0.02305,0.05170,0.13512,0.80429,2.33972
NO3, 11 Aug 1991, 0.00352,0.02197,0.04962,0.13139,0.79701,2.35331
NO3, 12 Aug 1991, 0.00145,0.02156,0.04829,0.12750,0.78466,2.36040
NO3, 13 Aug 1991, 0.00216,0.02256,0.04816,0.12396,0.77026,2.35626
NO3, 14 Aug 1991, 0.00241,0.02462,0.04914,0.12209,0.76069,2.34856
NO3, 15 Aug 1991, 0.00230,0.02671,0.05148,0.12447,0.75424,2.33737
NO3, 16 Aug 1991, 0.00513,0.02888,0.05399,0.12701,0.75059,2.33169
NO3, 17 Aug 1991, 0.00814,0.03102,0.05651,0.12973,0.74934,2.32920
NO3, 18 Aug 1991, 0.01066,0.03298,0.05880,0.13214,0.74845,2.32664
NO3, 19 Aug 1991, 0.01327,0.03496,0.06078,0.13359,0.74519,2.32403
NO3, 20 Aug 1991, 0.01425,0.03822,0.06328,0.13524,0.74298,2.32154
NO3, 21 Aug 1991, 0.01554,0.04108,0.06553,0.13613,0.73870,2.31897
NO3, 22 Aug 1991, 0.01494,0.04368,0.06937,0.13880,0.74085,2.31654
NO3, 23 Aug 1991, 0.00285,0.04532,0.07335,0.14118,0.74028,2.31423
NO3, 24 Aug 1991, 0.00522,0.04522,0.07563,0.14270,0.73691,2.31167
NO3, 25 Aug 1991, 0.00688,0.04489,0.07753,0.14536,0.73825,2.30904
NO3, 26 Aug 1991, 0.00935,0.04562,0.07932,0.14742,0.73934,2.30668
NO3, 27 Aug 1991, 0.01020,0.04518,0.08218,0.15169,0.74059,2.30443
NO3, 28 Aug 1991, 0.00441,0.04386,0.08287,0.15572,0.73845,2.30206
NO3, 29 Aug 1991, 0.00245,0.04094,0.08291,0.16170,0.74148,2.29986
NO3, 30 Aug 1991, 0.00348,0.03707,0.08131,0.16485,0.74669,2.29767
NO3, 31 Aug 1991, 0.00170,0.03383,0.07846,0.16542,0.75329,2.29571
NO3,  1 Sep 1991, 0.00164,0.03109,0.07523,0.16397,0.75957,2.29420
NO3,  2 Sep 1991, 0.00360,0.02939,0.07261,0.16142,0.76447,2.29324
NO3,  3 Sep 1991, 0.00245,0.02975,0.07164,0.15903,0.76854,2.29307
NO3,  4 Sep 1991, 0.00409,0.03233,0.07200,0.15659,0.76684,2.29344
NO3,  5 Sep 1991, 0.00667,0.03692,0.07591,0.15862,0.76521,2.29429
NO3,  6 Sep 1991, 0.01021,0.04358,0.08199,0.16114,0.76485,2.29570
NO3,  7 Sep 1991, 0.02350,0.05255,0.08915,0.16388,0.76328,2.29762
NO3,  8 Sep 1991, 0.03631,0.06262,0.09664,0.16686,0.76184,2.29955
NO3,  9 Sep 1991, 0.04836,0.07399,0.10537,0.17170,0.76555,2.30150
NO3, 10 Sep 1991, 0.05204,0.08570,0.11625,0.17611,0.76570,2.30272
NO3, 11 Sep 1991, 0.05340,0.09023,0.12423,0.18425,0.76602,2.30305
NO3, 12 Sep 1991, 0.03156,0.08394,0.12621,0.19283,0.76621,2.30261
NO3, 13 Sep 1991, 0.02561,0.07607,0.12458,0.19830,0.77067,2.30185
NO3, 14 Sep 1991, 0.02398,0.06946,0.12107,0.19969,0.77479,2.30106
NO3, 15 Sep 1991, 0.00425,0.06796,0.11921,0.19944,0.77776,2.30090
NO3, 16 Sep 1991, 0.00579,0.06834,0.11934,0.19875,0.77817,2.30116
NO3, 17 Sep 1991, 0.01036,0.06743,0.12094,0.19907,0.77692,2.30139
NO3, 18 Sep 1991, 0.00623,0.06759,0.12318,0.20141,0.78006,2.30178
NO3, 19 Sep 1991, 0.00549,0.06647,0.12369,0.20231,0.78133,2.30195
NO3, 20 Sep 1991, 0.00969,0.06486,0.12343,0.20230,0.78296,2.30170
NO3, 21 Sep 1991, 0.00300,0.06275,0.12303,0.20168,0.77977,2.30114
NO3, 22 Sep 1991, 0.00384,0.06191,0.12359,0.20274,0.77957,2.30080
NO3, 23 Sep 1991, 0.00810,0.06064,0.12382,0.20295,0.77951,2.30057
NO3, 24 Sep 1991, 0.00612,0.06234,0.12449,0.20122,0.77865,2.30075
NO3, 25 Sep 1991, 0.00924,0.06673,0.12799,0.19980,0.77927,2.30153
NO3, 26 Sep 1991, 0.01458,0.06761,0.13383,0.20423,0.78176,2.30251
NO3, 27 Sep 1991, 0.01001,0.06826,0.13649,0.21127,0.78304,2.30362
NO3, 28 Sep 1991, 0.01173,0.06575,0.13668,0.21815,0.78711,2.30496
NO3, 29 Sep 1991, 0.01249,0.06427,0.13542,0.22120,0.79064,2.30638
NO3, 30 Sep 1991, 0.01296,0.06572,0.13531,0.22204,0.79319,2.30785
NO3,  1 Oct 1991, 0.02977,0.07294,0.13864,0.22333,0.79798,2.30997
NO3,  2 Oct 1991, 0.03489,0.08318,0.14594,0.22243,0.80169,2.31278
NO3,  3 Oct 1991, 0.05603,0.09693,0.15553,0.22348,0.80643,2.31628
NO3,  4 Oct 1991, 0.06257,0.11480,0.16745,0.22665,0.81233,2.32051
NO3,  5 Oct 1991, 0.05205,0.13672,0.18165,0.23165,0.81921,2.32537
NO3,  6 Oct 1991, 0.06043,0.16151,0.19740,0.23797,0.82672,2.33066
NO3,  7 Oct 1991, 0.11667,0.18504,0.21220,0.24404,0.83349,2.33549
NO3,  8 Oct 1991, 0.15151,0.20548,0.22504,0.24923,0.83908,2.33957
NO3,  9 Oct 1991, 0.17422,0.22111,0.23509,0.25307,0.84321,2.34271
NO3, 10 Oct 1991, 0.18461,0.23264,0.24289,0.25581,0.84621,2.34507
NO3, 11 Oct 1991, 0.18271,0.24215,0.24976,0.25818,0.84868,2.34705
NO3, 12 Oct 1991, 0.17493,0.25244,0.25754,0.26113,0.85145,2.34925
NO3, 13 Oct 1991, 0.13227,0.26444,0.26690,0.26501,0.85480,2.35186
NO3, 14 Oct 1991, 0.07613,0.27827,0.27800,0.26989,0.85880,2.35499
NO3, 15 Oct 1991, 0.03343,0.29391,0.29089,0.27578,0.86347,2.35868
NO3, 16 Oct 1991, 0.00000,0.30751,0.30285,0.28126,0.86781,2.36221
NO3, 17 Oct 1991, 0.00000,0.31706,0.31225,0.28546,0.87125,2.36514
NO3, 18 Oct 1991, 0.00000,0.32413,0.32008,0.28890,0.87415,2.36770
NO3, 19 Oct 1991, 0.00000,0.32992,0.32717,0.29201,0.87684,2.37014
NO3, 20 Oct 1991, 0.00000,0.33437,0.33343,0.29473,0.87927,2.37242
NO3, 21 Oct 1991, 0.00000,0.33946,0.34043,0.29792,0.88206,2.37505
NO3, 22 Oct 1991, 0.00000,0.34451,0.34768,0.30131,0.88503,2.37791
NO3, 23 Oct 1991, 0.00142,0.34842,0.35425,0.30440,0.88784,2.38071
NO3, 24 Oct 1991, 0.04313,0.35315,0.36072,0.30766,0.89091,2.38385
NO3, 25 Oct 1991, 0.08829,0.35944,0.36654,0.31058,0.89384,2.38700
NO3, 26 Oct 1991, 0.12222,0.36650,0.37096,0.31259,0.89610,2.38957
NO3, 27 Oct 1991, 0.14399,0.36807,0.37449,0.31410,0.89798,2.39180
NO3, 28 Oct 1991, 0.16299,0.36716,0.37749,0.31535,0.89968,2.39388
NO3, 29 Oct 1991, 0.18380,0.36644,0.38027,0.31655,0.90135,2.39597
NO3, 30 Oct 1991, 0.20292,0.37115,0.38375,0.31822,0.90348,2.39863
NO3, 31 Oct 1991, 0.22997,0.37574,0.38747,0.32010,0.90581,2.40161
NO3,  1 Nov 1991, 0.24808,0.37872,0.39054,0.32162,0.90789,2.40437
NO3,  2 Nov 1991, 0.27225,0.38116,0.39322,0.32295,0.90984,2.40704
NO3,  3 Nov 1991, 0.26208,0.42081,0.39821,0.32468,0.91229,2.41052
NO3,  4 Nov 1991, 0.26664,0.43866,0.40687,0.32591,0.91430,2.41351
NO3,  5 Nov 1991, 0.22966,0.42474,0.41312,0.32696,0.91615,2.41637
NO3,  6 Nov 1991, 0.23574,0.40660,0.41720,0.32819,0.91818,2.41955
NO3,  7 Nov 1991, 0.26097,0.39443,0.42074,0.32940,0.92022,2.42283
NO3,  8 Nov 1991, 0.28606,0.38538,0.42314,0.33014,0.92184,2.42559
NO3,  9 Nov 1991, 0.30723,0.37922,0.42486,0.33059,0.92320,2.42804
NO3, 10 Nov 1991, 0.32277,0.37527,0.42606,0.33082,0.92438,2.43026
NO3, 11 Nov 1991, 0.30613,0.37271,0.42686,0.33088,0.92540,2.43230
NO3, 12 Nov 1991, 0.29409,0.37120,0.42745,0.33083,0.92633,2.43426
NO3, 13 Nov 1991, 0.28505,0.37167,0.42820,0.33083,0.92733,2.43637
NO3, 14 Nov 1991, 0.27936,0.37308,0.42895,0.33081,0.92832,2.43852
NO3, 15 Nov 1991, 0.27606,0.37491,0.42964,0.33074,0.92928,2.44068
NO3, 16 Nov 1991, 0.27444,0.37756,0.43045,0.33069,0.93028,2.44297
NO3, 17 Nov 1991, 0.25945,0.37988,0.43113,0.33059,0.93123,2.44524
NO3, 18 Nov 1991, 0.23862,0.38253,0.43190,0.33050,0.93221,2.44764
NO3, 19 Nov 1991, 0.21325,0.38706,0.43324,0.33059,0.93338,2.45040
NO3, 20 Nov 1991, 0.19987,0.38982,0.43417,0.33055,0.93442,2.45303
NO3, 21 Nov 1991, 0.19252,0.39092,0.43470,0.33037,0.93536,2.45553
NO3, 22 Nov 1991, 0.18520,0.38901,0.43514,0.33016,0.93628,2.45805
NO3, 23 Nov 1991, 0.18194,0.38451,0.43553,0.32995,0.93720,2.46062
NO3, 24 Nov 1991, 0.18449,0.37822,0.43558,0.32968,0.93807,2.46316
NO3, 25 Nov 1991, 0.18712,0.37066,0.43528,0.32937,0.93910,2.46600
NO3, 26 Nov 1991, 0.06836,0.36485,0.43479,0.32904,0.94067,2.46993
NO3, 27 Nov 1991, 0.00000,0.35961,0.43413,0.32868,0.94208,2.47360
NO3, 28 Nov 1991, 0.00000,0.35482,0.43331,0.32829,0.94326,2.47686
NO3, 29 Nov 1991, 0.00000,0.35013,0.43235,0.32786,0.94426,2.47979
NO3, 30 Nov 1991, 0.00000,0.34553,0.43123,0.32739,0.94496,2.48215
NO3,  1 Dec 1991, 0.00000,0.34103,0.43000,0.32687,0.94557,2.48434
NO3,  2 Dec 1991, 0.00000,0.33661,0.42866,0.32631,0.94615,2.48650
NO3,  3 Dec 1991, 0.00000,0.33225,0.42722,0.32569,0.94671,2.48871
NO3,  4 Dec 1991, 0.00000,0.32797,0.42569,0.32504,0.94719,2.49082
NO3,  5 Dec 1991, 0.00000,0.32376,0.42408,0.32435,0.94771,2.49308
NO3,  6 Dec 1991, 0.00000,0.31962,0.42242,0.32362,0.94822,2.49539
NO3,  7 Dec 1991, 0.00000,0.31554,0.42072,0.32288,0.94871,2.49771
NO3,  8 Dec 1991, 0.00000,0.31153,0.41897,0.32212,0.94922,2.50011
NO3,  9 Dec 1991, 0.00000,0.30758,0.41719,0.32134,0.94981,2.50273
NO3, 10 Dec 1991, 0.10933,0.32044,0.43203,0.32069,0.95077,2.51100
NO3, 11 Dec 1991, 0.22304,0.32992,0.47288,0.32087,0.95172,2.51803
NO3, 12 Dec 1991, 0.15042,0.30843,0.51614,0.32336,0.95286,2.52411
NO3, 13 Dec 1991, 0.12854,0.27492,0.51934,0.37020,0.95433,2.52897
NO3, 14 Dec 1991, 0.02727,0.22950,0.48937,0.43348,0.95613,2.53241
NO3, 15 Dec 1991, 0.02512,0.17531,0.44470,0.49084,0.95831,2.53548
NO3, 16 Dec 1991, 0.02785,0.14173,0.40267,0.52474,0.96068,2.53865
NO3, 17 Dec 1991, 0.05890,0.12628,0.37529,0.54452,0.96471,2.54199
NO3, 18 Dec 1991, 0.08610,0.12441,0.35466,0.54918,0.97417,2.54537
NO3, 19 Dec 1991, 0.11590,0.12632,0.34180,0.54781,0.98612,2.54887
NO3, 20 Dec 1991, 0.13582,0.12918,0.33294,0.54079,0.99550,2.55241
NO3, 21 Dec 1991, 0.18537,0.14695,0.34093,0.54767,1.00683,2.55629
NO3, 22 Dec 1991, 0.22849,0.16298,0.34338,0.54315,1.01520,2.56085
NO3, 23 Dec 1991, 0.29622,0.18769,0.35450,0.54177,1.02295,2.56670
NO3, 24 Dec 1991, 0.38228,0.21877,0.37157,0.54337,1.03015,2.57329
NO3, 25 Dec 1991, 0.45957,0.25646,0.39616,0.54523,1.03750,2.58049
NO3, 26 Dec 1991, 0.44914,0.30447,0.42542,0.55160,1.04627,2.58862
NO3, 27 Dec 1991, 0.43404,0.36566,0.46210,0.56261,1.05702,2.59798
NO3, 28 Dec 1991, 0.42098,0.42289,0.49642,0.57280,1.06752,2.60676
NO3, 29 Dec 1991, 0.36209,0.46939,0.52468,0.58137,1.07714,2.61426
NO3, 30 Dec 1991, 0.32108,0.50124,0.54439,0.58644,1.08502,2.62012
NO3, 31 Dec 1991, 0.19169,0.53522,0.59065,0.61796,1.09321,2.62607
NO3,  1 Jan 1992, 0.20724,0.51256,0.61778,0.66281,1.10717,2.63094
NO3,  2 Jan 1992, 0.10507,0.45728,0.61869,0.70117,1.13586,2.63605
NO3,  3 Jan 1992, 0.14499,0.41217,0.60540,0.72765,1.17291,2.64224
NO3,  4 Jan 1992, 0.20602,0.38960,0.59251,0.74711,1.21450,2.64928
NO3,  5 Jan 1992, 0.26864,0.38298,0.58425,0.76489,1.25936,2.65715
NO3,  6 Jan 1992, 0.32237,0.37592,0.57276,0.77805,1.30545,2.66519
NO3,  7 Jan 1992, 0.37070,0.35400,0.55551,0.78041,1.34597,2.67342
NO3,  8 Jan 1992, 0.37255,0.37145,0.54694,0.78264,1.38358,2.68179
NO3,  9 Jan 1992, 0.33297,0.38803,0.55373,0.80146,1.41172,2.70965
NO3, 10 Jan 1992, 0.28126,0.36699,0.54398,0.82134,1.43450,2.75926
NO3, 11 Jan 1992, 0.09279,0.29173,0.50707,0.82684,1.45064,2.82929
NO3, 12 Jan 1992, 0.04948,0.22894,0.45701,0.81266,1.45558,2.91136
NO3, 13 Jan 1992, 0.11340,0.19530,0.41416,0.78724,1.45114,2.94864
NO3, 14 Jan 1992, 0.21051,0.19537,0.38679,0.75811,1.43601,2.94256
NO3, 15 Jan 1992, 0.36016,0.22158,0.38015,0.73648,1.42016,2.91352
NO3, 16 Jan 1992, 0.53715,0.25973,0.38716,0.72170,1.40446,2.87439
NO3, 17 Jan 1992, 0.68119,0.30190,0.40040,0.71327,1.39069,2.83410
NO3, 18 Jan 1992, 0.68917,0.34292,0.42044,0.71030,1.38130,2.79902
NO3, 19 Jan 1992, 0.66949,0.38549,0.44844,0.71705,1.37201,2.77356
NO3, 20 Jan 1992, 0.65883,0.43408,0.47862,0.72567,1.37548,2.75360
NO3, 21 Jan 1992, 0.65269,0.49202,0.51240,0.73583,1.38016,2.74904
NO3, 22 Jan 1992, 0.82712,0.63560,0.56410,0.75239,1.39143,2.75630
NO3, 23 Jan 1992, 1.12535,0.74233,0.62656,0.77152,1.40543,2.76900
NO3, 24 Jan 1992, 0.90789,0.86487,0.75456,0.84468,1.42447,2.78067
NO3, 25 Jan 1992, 0.96056,0.88015,0.84555,0.93885,1.47136,2.79070
NO3, 26 Jan 1992, 0.53944,0.75109,0.85630,1.00908,1.53576,2.79941
NO3, 27 Jan 1992, 0.52302,0.63003,0.81907,1.04449,1.58412,2.82618
NO3, 28 Jan 1992, 0.60493,0.53926,0.76738,1.04846,1.61013,2.84442
NO3, 29 Jan 1992, 0.73804,0.51117,0.72551,1.03416,1.61819,2.85151
NO3, 30 Jan 1992, 0.88857,0.51783,0.70610,1.01967,1.62146,2.85082
NO3, 31 Jan 1992, 1.03516,0.56691,0.70806,1.00992,1.62220,2.84684
NO3,  1 Feb 1992, 1.22789,0.58908,0.71503,0.99960,1.61354,2.84121
NO3,  2 Feb 1992, 1.37091,0.61393,0.73207,0.99787,1.61161,2.83629
NO3,  3 Feb 1992, 1.54695,0.64533,0.75021,0.99590,1.60934,2.83977
NH4,  1 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  2 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  3 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  4 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  5 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  6 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  7 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  8 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  9 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 10 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 11 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 12 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 13 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 14 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 15 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 16 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 17 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 18 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 19 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 20 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 21 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 22 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 23 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 24 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 25 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 26 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 27 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 28 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 29 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 30 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 31 Aug 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  1 Sep 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  2 Sep 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  3 Sep 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  4 Sep 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  5 Sep 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  6 Sep 1990, 0.00493,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  7 Sep 1990, 0.01673,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  8 Sep 1990, 0.01675,0.00000,0.00000,0.00000,0.00000,0.00000
NH4,  9 Sep 1990, 0.03027,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 10 Sep 1990, 0.01659,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 11 Sep 1990, 0.01903,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 12 Sep 1990, 0.03655,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 13 Sep 1990, 0.03437,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 14 Sep 1990, 0.03438,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 15 Sep 1990, 0.03266,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 16 Sep 1990, 0.02484,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 17 Sep 1990, 0.02915,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 18 Sep 1990, 0.03367,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 19 Sep 1990, 0.03880,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 20 Sep 1990, 0.04178,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 21 Sep 1990, 0.04514,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 22 Sep 1990, 0.04628,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 23 Sep 1990, 0.04885,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 24 Sep 1990, 0.05148,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 25 Sep 1990, 0.05958,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 26 Sep 1990, 0.05182,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 27 Sep 1990, 0.03113,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 28 Sep 1990, 0.02316,0.00000,0.00000,0.00000,0.00000,0.00000
NH4, 29 Sep 1990, 0.01422,0.00000,0.00000,0.00000,0.00000,0.00002
NH4, 30 Sep 1990, 0.00647,0.00000,0.00000,0.00000,0.00000,0.00010
NH4,  1 Oct 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00021
NH4,  2 Oct 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00037
NH4,  3 Oct 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00056
NH4,  4 Oct 1990, 0.00000,0.00000,0.00000,0.00000,0.00000,0.00080
NH4,  5 Oct 1990, 0.05566,0.00000,0.00000,0.00000,0.00000,0.00109
NH4,  6 Oct 1990, 0.05269,0.00000,0.00000,0.00000,0.00000,0.00141
NH4,  7 Oct 1990, 0.03881,0.00000,0.00000,0.00000,0.00000,0.00176
NH4,  8 Oct 1990, 0.05341,0.00000,0.00000,0.00000,0.00000,0.00214
