year,day,radn,maxt,mint,rain,pan,vp,code
1999,1,8.0,23.0,17.5,4.9,2.0,21.0,222222
1999,2,8.0,23.5,18.0,20.2,1.8,23.0,222222
1999,3,13.0,27.5,18.5,2.0,4.0,22.0,222222
1999,4,26.0,30.5,19.0,0.0,7.0,23.0,222222
1999,5,25.0,30.0,18.0,0.0,6.8,20.0,222222
1999,6,27.0,30.0,17.0,0.0,9.2,18.0,222222
1999,7,27.0,30.5,16.5,0.0,8.2,20.0,222222
1999,8,30.0,32.5,16.5,0.0,9.0,19.0,222222
1999,9,26.0,33.5,18.5,0.0,7.6,23.0,222222
1999,10,21.0,31.0,20.0,2.6,6.0,25.0,222222
1999,11,27.0,34.5,18.0,5.8,6.8,24.0,222222
1999,12,14.0,33.0,21.0,0.0,6.0,29.0,222222
1999,13,27.0,33.5,21.0,13.4,8.0,25.0,222222
1999,14,28.0,33.5,20.0,0.0,10.0,25.0,222222
1999,15,26.0,32.0,20.0,0.0,10.2,22.0,222222
1999,16,30.0,31.0,15.5,0.0,10.0,18.0,222222
1999,17,31.0,31.0,15.5,0.0,10.6,17.0,222222
1999,18,30.0,32.0,15.5,0.0,9.2,18.0,222222
1999,19,29.0,32.5,16.5,0.0,10.2,20.0,222222
1999,20,28.0,33.0,17.0,0.0,9.4,21.0,222222
1999,21,23.0,32.0,19.5,0.0,9.6,22.0,222222
1999,22,25.0,30.5,15.5,0.0,8.8,18.0,222222
1999,23,29.0,33.5,16.0,0.0,9.4,18.0,222222
1999,24,28.0,36.0,18.5,0.0,9.8,22.0,222222
1999,25,26.0,34.0,21.5,0.5,9.0,24.0,222222
1999,26,22.0,32.0,19.5,45.5,7.0,24.0,222222
1999,27,17.0,30.0,20.5,0.6,5.0,22.0,222222
1999,28,16.0,29.0,21.0,0.0,4.2,23.0,222222
1999,29,21.0,33.5,20.5,0.0,6.4,25.0,222222
1999,30,26.0,33.0,19.5,0.0,5.2,26.0,222222
1999,31,25.0,32.0,21.5,0.5,6.8,24.0,222222
1999,32,18.0,28.0,17.5,77.9,5.8,23.0,222222
1999,33,22.0,28.0,19.5,7.7,5.0,23.0,222222
1999,34,25.0,28.0,17.0,4.1,7.2,18.0,222222
1999,35,24.0,28.0,16.0,0.0,6.4,18.0,222222
1999,36,28.0,29.5,15.5,0.0,6.6,16.0,222222
1999,37,26.0,32.5,18.0,0.0,6.6,23.0,222222
1999,38,19.0,31.0,19.5,0.0,5.2,22.0,222222
1999,39,8.0,25.0,20.5,9.4,4.2,25.0,222222
1999,40,12.0,24.0,18.5,23.8,3.0,22.0,222222
1999,41,21.0,28.0,21.0,2.5,6.8,23.0,222222
1999,42,22.0,26.5,18.5,0.0,6.0,20.0,222222
1999,43,21.0,28.0,16.0,0.0,4.6,19.0,222222
1999,44,24.0,30.5,17.5,0.0,7.2,20.0,222222
1999,45,27.0,31.5,18.5,0.0,7.2,21.0,222222
1999,46,26.0,34.0,20.0,0.0,6.4,25.0,222222
1999,47,23.0,35.0,21.5,0.0,7.6,26.0,222222
1999,48,26.0,36.0,22.5,0.0,7.6,27.0,222222
1999,49,27.0,36.0,21.0,0.0,11.2,24.0,222222
1999,50,26.0,29.5,12.5,0.0,8.2,15.0,222222
1999,51,24.0,28.5,15.5,0.0,7.8,16.0,222222
1999,52,24.0,28.5,13.5,0.0,7.2,16.0,222222
1999,53,23.0,29.5,16.5,0.0,7.4,17.0,222222
1999,54,25.0,30.0,14.0,0.0,6.0,17.0,222222
1999,55,7.0,25.0,17.0,0.0,4.4,19.0,222222
1999,56,21.0,29.0,14.5,0.0,4.6,20.0,222222
1999,57,19.0,29.5,18.0,0.0,4.8,20.0,222222
1999,58,13.0,28.0,19.0,23.1,4.4,21.0,222222
1999,59,11.0,27.5,20.0,0.3,3.6,23.0,222222
1999,60,11.0,29.5,20.5,20.4,3.0,26.0,222222
1999,61,11.0,29.5,22.0,16.5,3.8,29.0,222222
1999,62,7.0,29.0,23.0,3.9,3.0,27.0,222222
1999,63,20.0,30.5,19.0,21.3,3.8,25.0,222222
1999,64,25.0,32.0,19.5,0.0,6.8,26.0,222222
1999,65,25.0,32.0,18.0,0.0,6.6,23.0,222222
1999,66,26.0,32.0,17.0,0.0,6.8,22.0,222222
1999,67,18.0,29.5,18.5,0.0,5.6,22.0,222222
1999,68,20.0,28.0,17.5,3.5,6.6,20.0,222222
1999,69,19.0,29.0,15.5,0.0,5.4,19.0,222222
1999,70,23.0,29.5,16.5,0.0,6.0,21.0,222222
1999,71,23.0,29.5,17.5,0.0,5.6,21.0,222222
1999,72,23.0,30.0,16.5,0.0,6.4,21.0,222222
1999,73,22.0,30.5,16.0,0.0,6.2,19.0,222222
1999,74,22.0,32.0,17.0,0.0,5.6,21.0,222222
1999,75,22.0,32.5,17.5,0.0,6.2,22.0,222222
1999,76,20.0,31.5,19.5,0.0,7.2,21.0,222222
1999,77,21.0,29.5,20.0,2.3,6.0,22.0,222222
1999,78,17.0,29.5,16.5,0.0,6.4,21.0,222222
1999,79,15.0,29.5,16.5,0.0,4.4,22.0,222222
1999,80,15.0,30.0,19.0,0.0,5.0,24.0,222222
1999,81,21.0,34.0,18.5,0.0,6.2,25.0,222222
1999,82,13.0,28.0,18.5,2.8,6.0,21.0,222222
1999,83,21.0,28.5,14.5,0.0,5.2,18.0,222222
1999,84,19.0,28.5,13.5,0.0,5.6,18.0,222222
1999,85,23.0,29.0,14.5,0.0,5.6,19.0,222222
1999,86,23.0,29.5,14.0,0.0,6.6,18.0,222222
1999,87,23.0,32.0,14.0,0.0,7.2,19.0,222222
1999,88,14.0,27.0,15.0,0.0,4.4,12.0,222222
1999,89,8.0,28.5,17.0,0.0,5.0,20.0,222222
1999,90,10.0,28.5,19.0,0.0,5.0,20.0,222222
1999,91,19.0,30.0,15.0,0.0,5.6,19.0,222222
1999,92,13.0,30.0,17.0,0.0,6.8,20.0,222222
1999,93,12.0,27.0,19.5,0.0,3.6,20.0,222222
1999,94,14.0,28.0,17.0,0.0,3.8,19.0,222222
1999,95,9.0,27.5,19.5,0.0,3.6,21.0,222222
1999,96,20.0,27.0,18.0,0.0,6.4,18.0,222222
1999,97,21.0,28.0,9.5,0.0,5.4,15.0,222222
1999,98,14.0,25.0,14.0,0.0,4.6,15.0,222222
1999,99,13.0,26.5,15.0,0.0,3.8,16.0,222222
1999,100,18.0,25.0,14.0,0.0,5.6,16.0,222222
1999,101,19.0,26.0,12.0,0.0,4.0,16.0,222222
1999,102,20.0,26.5,10.5,0.0,6.2,14.0,222222
1999,103,20.0,27.0,10.5,0.0,4.2,15.0,222222
1999,104,19.0,27.0,11.5,0.0,5.4,17.0,222222
1999,105,18.0,27.5,11.5,0.0,5.4,18.0,222222
1999,106,18.0,27.5,11.0,0.0,5.6,15.0,222222
1999,107,9.0,25.0,12.5,0.0,3.8,16.0,222222
1999,108,15.0,25.0,13.5,0.0,3.4,16.0,222222
1999,109,19.0,26.5,9.5,0.0,4.8,16.0,222222
1999,110,15.0,27.0,9.0,0.0,3.4,17.0,222222
1999,111,16.0,27.0,17.5,0.0,4.8,18.0,222222
1999,112,21.0,22.5,3.5,0.0,5.2,7.0,222222
1999,113,19.0,21.5,3.5,0.0,4.2,9.0,222222
1999,114,20.0,24.5,4.0,0.0,5.6,10.0,222222
1999,115,20.0,25.0,3.5,0.0,4.0,9.0,222222
1999,116,17.0,26.0,5.5,0.0,4.2,12.0,222222
1999,117,20.0,24.0,9.0,0.0,6.6,7.0,222222
1999,118,20.0,19.5,1.5,0.0,5.2,6.0,222222
1999,119,20.0,22.5,3.0,0.0,4.4,8.0,222222
1999,120,19.0,24.0,3.5,0.0,3.8,9.0,222222
1999,121,14.0,23.0,10.0,0.0,3.8,12.0,222222
